time	sap_flux	sap_flux_err	pdcsap_flux	pdcsap_flux_err
1791.388160498798	15070892.0	412.69327	15434974.0	417.89423
1791.3895494229562	15060171.0	412.55038	15399219.0	417.74957
1791.3909383471162	15059473.0	412.54373	15380758.0	417.74283
1791.3951051191273	15033165.0	412.19562	15306101.0	417.39032
1791.3964940432854	15054259.0	412.47562	15328628.0	417.67386
1791.3978829669788	15054528.0	412.45413	15325661.0	417.6521
1791.3992718911388	15034941.0	412.22705	15274559.0	417.42215
1791.400660815298	15050206.0	412.4093	15274805.0	417.6067
1791.4020497389906	15059961.0	412.54657	15295615.0	417.7457
1791.403438663149	15048894.0	412.39087	15256290.0	417.58804
1791.4048275868424	15063363.0	412.58948	15259358.0	417.78912
1791.4062165110015	15061262.0	412.55402	15239275.0	417.7532
1791.4076054351606	15042229.0	412.3097	15199104.0	417.50586
1791.408994358854	15076230.0	412.7458	15243313.0	417.94742
1791.4103832830126	15060544.0	412.5476	15196430.0	417.74673
1791.411772206706	15063844.0	412.59442	15198357.0	417.79416
1791.413161130865	15041049.0	412.30896	15141141.0	417.5051
1791.414550054558	15063650.0	412.5968	15151038.0	417.79657
1791.4159389787162	15055160.0	412.48077	15146022.0	417.67908
1791.4173279024096	15062789.0	412.588	15130330.0	417.78766
1791.418716826104	15066963.0	412.64307	15119366.0	417.84344
1791.420105750263	15061852.0	412.59152	15113613.0	417.79123
1791.421494673956	15058171.0	412.52356	15093079.0	417.72238
1791.4228835981141	15109187.0	413.2022	15154593.0	418.4096
1791.424272521807	15071950.0	412.6956	15090972.0	417.8966
1791.425661445501	15078403.0	412.80954	15078878.0	418.012
1791.427050369661	15086175.0	412.90897	15065953.0	418.11264
1791.4284392933534	15070342.0	412.68765	15054178.0	417.88855
1791.4298282170464	15094571.0	413.0203	15053168.0	418.22537
1791.4326060648984	15132051.0	413.53052	15074463.0	418.74207
1791.4339949885923	15092664.0	413.00385	15015448.0	418.20874
1791.4353839122857	15091834.0	412.9802	15013560.0	418.18478
1791.4367728364443	15110866.0	413.24106	15008857.0	418.44894
1791.4381617601368	15101733.0	413.11853	14997304.0	418.3249
1791.4395506838305	15112224.0	413.26926	14992067.0	418.4775
1791.4409396075241	15124327.0	413.4241	15010843.0	418.6343
1791.4423285312175	15128224.0	413.47427	14992692.0	418.6851
1791.4437174553766	15114116.0	413.28058	14960896.0	418.48895
1791.445106379069	15178733.0	414.13974	15057368.0	419.35895
1791.4464953027625	15119091.0	413.34622	14959554.0	418.55542
1791.4478842264562	15131791.0	413.53317	14966004.0	418.74475
1791.4492731501489	15161316.0	413.90698	14987545.0	419.12323
1791.4506620738423	15118306.0	413.33136	14924525.0	418.54037
1791.4520509975357	15144698.0	413.70966	14929671.0	418.92346
1791.4534399212291	15154057.0	413.8242	14936257.0	419.03943
1791.4548288449225	15140493.0	413.6469	14919671.0	418.85995
1791.4562177686155	15136983.0	413.59732	14918439.0	418.8097
1791.4576066923082	15159098.0	413.9031	14932377.0	419.11932
1791.458995616001	15158236.0	413.88522	14906077.0	419.10126
1791.4603845396953	15157899.0	413.89642	14895728.0	419.11255
1791.4617734633891	15154139.0	413.86456	14885001.0	419.0803
1791.463162387082	15172189.0	414.06833	14909933.0	419.28665
1791.4645513107746	15177254.0	414.1461	14901987.0	419.36542
1791.4659402344676	15173110.0	414.08344	14887892.0	419.3019
1791.467329158161	15167169.0	414.01666	14868428.0	419.23434
1791.4687180818553	15150224.0	413.78348	14855926.0	418.99817
1791.470107005083	15193795.0	414.35266	14896479.0	419.5746
1791.4714959287755	15200450.0	414.45584	14866299.0	419.67905
1791.4728848524685	15184167.0	414.22772	14850079.0	419.44806
1791.474273776162	15179244.0	414.1741	14832828.0	419.39374
1791.4756626998553	15197073.0	414.42282	14846360.0	419.6456
1791.4770516235487	15200711.0	414.44565	14852692.0	419.6687
